assembly_id,assembly_name,expected_revision,criticality,engineering_change_notice,work_instruction_id,manufacturing_cell,work_instruction_revision,approval_status,last_review_days_ago,inspection_plan_id,inspection_revision,acceptance_criteria_status,open_quality_notes,outdated_parts,max_part_revision_gap,obsolete_parts,single_source_parts,total_parts,lagging_suppliers,max_supplier_revision_gap,avg_supplier_acknowledgement_days,work_instruction_gap,inspection_gap,risk_score,risk_level,recommended_action
ASM-1006,NAV-700 Guidance Assembly,B,Critical,ECN-2406,WI-1006,Assembly Cell A,B,Approved,148,INSP-1006,A,Potential Drift,3,1,1,3,2,8,2,1,17.9,0,1,101,Critical,Hold affected build until revision alignment is verified. Escalate ECN closure and supplier confirmation.
ASM-1005,THM-620 Thermal Regulation Unit,C,Medium,ECN-2405,WI-1005,Assembly Cell B,C,Approved,136,INSP-1005,B,Potential Drift,2,3,2,2,4,8,4,1,33.9,0,1,99,Critical,Hold affected build until revision alignment is verified. Escalate ECN closure and supplier confirmation.
ASM-1002,COM-330 Communications Module,D,High,ECN-2402,WI-1002,Assembly Cell A,D,Approved,29,INSP-1002,D,Aligned,4,1,2,1,1,8,5,2,33.9,0,0,89,High,"Prioritize document review, supplier acknowledgement, and quality note closure before next production release."
ASM-1003,SNS-450 Sensor Payload,E,Critical,ECN-2403,WI-1003,Assembly Cell B,E,Approved,24,INSP-1003,D,Potential Drift,6,1,1,2,2,6,1,1,19.3,0,1,88,High,"Prioritize document review, supplier acknowledgement, and quality note closure before next production release."
ASM-1000,AVN-100 Flight Computer,E,Critical,ECN-2400,WI-1000,Final Integration,D,Requires Review,78,INSP-1000,E,Aligned,2,1,1,1,0,5,3,1,29.0,1,0,86,High,"Prioritize document review, supplier acknowledgement, and quality note closure before next production release."
ASM-1008,DRV-900 Motor Drive Assembly,C,Medium,ECN-2408,WI-1008,Final Integration,C,Approved,98,INSP-1008,B,Potential Drift,1,2,1,2,2,7,4,1,25.3,0,1,75,High,"Prioritize document review, supplier acknowledgement, and quality note closure before next production release."
ASM-1009,STR-115 Structural Bracket Kit,E,Low,ECN-2409,WI-1009,Assembly Cell B,E,Pending Approval,102,INSP-1009,E,Aligned,2,2,1,1,2,7,3,2,25.1,0,0,69,High,"Prioritize document review, supplier acknowledgement, and quality note closure before next production release."
ASM-1001,PWR-210 Power Distribution Unit,D,High,ECN-2401,WI-1001,Electronics Cell,D,Approved,79,INSP-1001,D,Aligned,2,0,0,0,1,6,5,2,35.8,0,0,57,Medium,Schedule configuration review and monitor supplier/document revision status.
ASM-1007,RAD-810 Radar Interface Board,D,High,ECN-2407,WI-1007,Assembly Cell B,D,Approved,32,INSP-1007,D,Aligned,0,2,1,1,0,7,2,1,25.4,0,0,48,Medium,Schedule configuration review and monitor supplier/document revision status.
ASM-1004,CTL-500 Actuator Controller,E,Medium,ECN-2404,WI-1004,Final Integration,E,Approved,70,INSP-1004,E,Aligned,3,1,1,0,1,5,2,1,29.8,0,0,42,Medium,Schedule configuration review and monitor supplier/document revision status.
